category,description
American poetry,B'odio' b'ut' b'vivamus' b'faucibus' b'nec' b'a' b'a' b'lectus' b'nostra'.
Science fiction,B'nunc' b'ad' b'a' b'taciti'.
Conduct of life,B'erat' b'ad' b'a' b'id' b'tempor'.
Popular culture,B'enim' b'ac' b'ad' b'a' b'a' b'nisl' b'a' b'malesuada'.
Organized Crime,B'amet' b'et' b'potenti' b'a' b'luctus'.
Vice-Presidents,B'eros' b've' b'a'.
College teachers,B'nibh' b'at' b'a' b'at' b'consequat' b'fames' b'ad' b'id' b'a' b'at' b've' b'dis' b'a' b'a' b'proin' b'nam' b'eni' b'a' b'a' b'a'.
American fiction,B'nisl' b'ut' b'a' b'est'.
Humorous stories,B'quis' b'id' b'a' b'est' b'ante'.
Boarding schools,B'nibh' b've' b'a' b'a' b'a' b'ante' b'a' b'a' b'a' b'cras'.
Electronic books,B'quam' b've' b'a' b'dui' b'nostra' b'nibh' b'at'.
"Authors, English",B'ante' b'in' b'viverra' b'magna' b'odio' b'a' b'et' b'a'.
Humorous fiction,B'amet' b'et' b'a' b'a' b'a' b'porttitor' b'consectetuer' b'duis' b'nam'.
Apartment houses,B'erat' b'ad' b'a' b'a' b'a' b'metus' b'a' b'dolor'.
Juvenile Fiction,B'nisl' b'ut' b'a' b'neque' b'ac' b'id' b'et' b'a' b'vel' b'a' b'a' b'molestie' b'enim' b'a'.
Mothers and sons,B'amet' b'et' b'potenti' b'proin' b'eu' b'a' b'auctor' b'a' b'nunc'.
New York (State),B'eget' b'id' b'a' b'dictum' b'ad' b'a'.
Prisoners of war,B'nunc' b'eu' b'a' b'nam' b'a' b'aptent' b'nunc' b'at' b'a' b'a' b'a' b'a' b'et' b'eros'.
English language,B'erat' b'et' b'a'.
Computer science,B'enim' b'at' b'a' b'a' b'a' b'a' b'eu' b'dui' b'et' b'risus' b'a' b'sem'.
"Authors, Italian",B'enim' b'mi' b'a' b'at' b'aenean' b'neque' b'et' b'a' b'a'.
London (England),B'orci' b've' b'ut' b'nam' b'a' b'a' b'eros' b'nec' b'a' b'lacinia' b'dis'.
Domestic fiction,B'diam' b've' b'blandit' b'a' b'leo'.
Women terrorists,B'nibh' b'id' b'a' b'a' b'sed' b'quam' b'mus' b'a' b'class' b'et' b'a' b'per'.
Cities and towns,B'enim' b'id' b'a'.
Cocaine industry,B'eros' b'ac' b'a'.
Health & Fitness,B'erat' b'mi'.
Crafts & Hobbies,B'eros' b've'.
Dublin (Ireland),B'eget' b'ac' b'blandit' b'a' b'eu' b'porta' b'ac' b'a' b'diam'.
Bail bond agents,B'orci' b've' b'a' b'litora' b'ridiculus' b'feugiat' b'a' b'ad' b'at' b'per'.
European fiction,B'eros' b'et' b'a' b'a' b'a'.
Christian saints,B'amet' b'at'.
Children's plays,B'eros' b'ac' b'a' b'a' b'a' b'a' b'a' b'vel' b'sed' b'neque'.
Cambridge (Mass.),B'quis' b'id'.
"Authors, American",B'quis' b'at' b'a' b'a' b'a' b'ad'.
Large print books,B'enim' b'ut' b'a' b'duis' b'a' b'mi' b'a' b'cursus' b'a' b'curabitur' b'a'.
Boats and boating,B'duis' b've'.
Handicapped youth,B'nunc' b'ut'.
Provence (France),B'odio' b'eu'.
Zero (The number),B'duis' b'ac' b'a' b'a' b'a' b'duis' b'vitae'.
Adventure fiction,B'pede' b'ut' b'eu' b'a' b'a' b'a' b'a' b'rhoncus' b'sociis'.
Political fiction,B'duis' b'mi' b'a' b'a' b'sociis' b'purus' b'a' b'suscipit' b'a' b'primis' b'mus' b'a'.
Classical fiction,B'amet' b'et' b'a' b'a' b'eu' b'a' b'a' b'a' b'ut' b'donec' b'rutrum'.
Babytime resource,B'eros' b've'.
"Animals, Mythical",B'nisl' b'ac' b'egestas' b'a' b'sociis' b'fames'.
Christmas stories,B'amet' b'eu' b'a' b'a' b'semper' b'per'.
Lisbon (Portugal),B'nunc' b'in' b'a'.
Adventure stories,B'diam' b've' b'a' b'a' b'a'.
African Americans,B'eget' b'ac'.
"Finance, Personal",B'cras' b'mi' b'a' b'in' b'mattis' b'arcu' b'porttitor' b'vel'.
Christian fiction,B'nisi' b'ad' b'a' b'et' b'curae' b'a' b'a' b'a'.
Female friendship,B'nunc' b'ut' b'mi' b'at'.
Political science,B'nisi' b'in' b'a' b'primis' b'ac' b'a' b'ligula' b'a'.
"Authors, Canadian",B'arcu' b'eu'.
Consumer behavior,B'nisl' b'mi' b'a' b'a' b'a' b'varius' b'a'.
Dominican Republic,B'orci' b'et' b'a' b'a' b'vel' b'elit' b'odio' b'sem' b'a'.
Animal sanctuaries,B'enim' b'eu'.
College attendance,B'orci' b'ac' b'a' b'a' b'vitae' b'at' b'a' b'in'.
Historical fiction,B'orci' b'in' b'elit' b'eu' b'a' b'eu' b'a' b'lorem' b'at' b'turpis'.
Labrador retriever,B'arcu' b've' b'a' b'a' b'a' b'a' b'varius' b'a' b'nascetur' b'a' b'platea' b'a' b'convallis' b'et' b'a' b'a' b'a' b'class'.
Cosmetics industry,B'erat' b'ut' b'a' b'in' b'orci' b'a' b've' b'mi' b'eget' b'a' b'a' b'nostra'.
Arthurian romances,B'nibh' b've' b'a' b'taciti' b'a' b'a' b'a' b'fames' b'vel'.
City and town life,B'nisi' b'id' b'a' b'a' b'a' b'a' b'a' b'a' b'mus' b'neque' b'odio' b'phasellus' b'litora'.
Literary Criticism,B'diam' b'et' b'a' b'a' b'a' b'at' b'cras' b'cursus' b'leo' b'a'.
Aircraft accidents,B'nisl' b'in' b'a' b'a' b'et' b'a' b'a' b'ac'.
Games & Activities,B'urna' b'ac' b'a' b'a' b'lectus' b'mi' b'a' b'a'.
"Novelists, English",B'arcu' b'ac'.
Emotional problems,B'nunc' b'eu' b'a' b'a' b'fames' b'a' b'magna' b'a'.
Children's stories,B'elit' b'mi' b'a' b'hac' b'in' b'elit' b'nam' b'a' b'a'.
Australian fiction,B'eget' b've' b'a' b'per' b'a' b'vitae' b'a' b'a' b'a' b'penatibus'.
Feature films [DVD],B'amet' b'mi'.
Slave insurrections,B'orci' b'ut' b'a' b'nec' b'metus' b'ac' b'a'.
Trials (Witchcraft),B'amet' b'ac'.
Art museum curators,B'urna' b'ac' b'a' b'sem' b'a' b'orci' b'a' b'a' b'hac'.
American literature,B'eros' b've' b'et' b'a' b'sed' b'a' b'id' b'a' b'a' b'a' b'mollis' b'dis' b'ut' b'luctus'.
"Theology, Doctrinal",B'erat' b'ut' b'a' b'mus'.
Sports & Recreation,B'cras' b'at' b'a' b'enim' b'mus' b'a' b'a' b'dis' b'a'.
"Novelists, American",B'nisl' b'ut' b'a' b'dis' b'mauris' b'posuere' b'a' b'nec'.
Amazon River Region,B'erat' b'id' b'ut' b'at' b'vel' b'a'.
Alzheimer's disease,B'nunc' b'ac' b'odio' b'a'.
Crime investigation,B'nisi' b'ac' b'et'.
Young Adult Fiction,B'diam' b'ut' b'a' b'quis' b'a' b'a' b'odio' b'a' b'a' b'hymenaeos' b'per' b'ac' b'diam'.
Juvenile Nonfiction,B'eget' b'mi' b'a' b'est' b'a' b'vitae' b'a' b'a'.
"Body, Mind & Spirit",B'eget' b'id' b'gravida' b'magna' b'urna' b'donec' b'eros' b'ac' b'duis' b'a' b'a' b'cursus'.
Intelligence service,B'diam' b'in'.
Business enterprises,B'odio' b'id'.
Brothers and sisters,B'cras' b'et' b'a' b'a' b'a' b'at' b'vel'.
Experimental fiction,B'eros' b'ad' b'a' b'sed' b'fames' b'ad'.
Los Angeles (Calif.),B'quis' b'id' b'quisque' b'magna' b'eros' b'quis' b'a'.
"Fairy tales, English",B'pede' b've' b'ad' b'dui' b'a' b'orci' b'a' b'a' b'duis' b'et'.
Political leadership,B'pede' b'ac' b'a' b'a' b'eu' b'a' b'per' b'class' b'egestas' b'mus' b'a' b'urna'.
Hallucinogenic drugs,B'nisi' b'in'.
Business & Economics,B'nisi' b'at' b'a' b'a' b'a' b'a'.
Actors and actresses,B'amet' b'eu' b'a' b'dui' b'a' b'et' b'odio' b'non' b'a' b'a' b'a' b'urna' b'a'.
Canterbury (England),B'ante' b'et' b'a' b'a' b'felis'.
Computer programmers,B'amet' b've'.
Argentine literature,B'nunc' b'id' b'a' b'dolor' b'ligula' b'a' b'mattis' b'eu' b'a' b'a' b'cras'.
"World War, 1914-1918",B'duis' b'at'.
Motion picture plays,B'cras' b'et' b'a' b'id' b'eu' b'a' b'a' b'arcu' b'a' b'a' b'a'.
Children of the rich,B'erat' b'ad' b'a'.
African American men,B'enim' b'at' b'id'.
Literary Collections,B'enim' b'eu' b'a' b'pede' b'id' b'eros' b'a' b'ipsum' b'tellus'.
Antislavery movements,B'orci' b'mi' b'a' b'id' b'leo' b'maecenas' b'id' b'hac' b'ac' b'a'.
Igbo (African people),B'pede' b'ad'.
Mormon fundamentalism,B'nunc' b'in' b'a' b'duis' b'a'.
Identity (Psychology),B'amet' b'ut' b'a' b'sed' b'neque'.
Confianza en sí mismo,B'urna' b'eu'.
Greek drama (Tragedy),B'arcu' b'id' b'a'.
Life on other planets,B'amet' b've' b'id' b'non' b'a' b'curae' b'nisi' b'a' b'a'.
"Animals, Treatment of",B'quis' b'et'.
Bosnia and Herzegovina,B'ante' b'at' b'a' b'a' b'a'.
Human-alien encounters,B'enim' b'ut' b'a' b'a' b'aenean' b'venenatis'.
Autonomy (Psychology).,B'odio' b'ut' b'a' b'non' b'etiam' b'tempor' b'a' b'a' b'a'.
Canadian wit and humor,B'quam' b'mi'.
Dysfunctional families,B'amet' b'ac' b'eu' b'nec' b'platea'.
American wit and humor,B'eros' b'at' b'a'.
Bosnia and Hercegovina,B'amet' b'et'.
"Vietnam War, 1961-1975",B'elit' b'in'.
Language and languages,B'duis' b'at'.
Interplanetary voyages,B'nisi' b'ac'.
Aboriginal Australians,B'duis' b'id'.
Family & Relationships,B'enim' b'ac' b'at' b'a' b'a' b'in' b'quam' b'fames' b'sed' b'dis' b'a' b'a'.
"Short stories, English",B'nunc' b'in'.
Foreign Language Study,B'odio' b'eu'.
"Horror tales, American",B'quam' b'eu' b'id' b'a'.
"Persian Gulf War, 1991",B'pede' b'in' b'a' b'etiam' b'morbi' b'sollicitudin' b'iaculis' b'pede' b'a' b'risus' b'ante' b'ac'.
Repression (Psychology),B'quis' b'ut' b'ad' b'urna' b've' b'a' b'turpis'.
Indic fiction (English),B'nibh' b've' b'a' b'orci' b'a' b'a' b'risus' b'a' b'a'.
Cerebrovascular disease,B'orci' b'id' b'a'.
American Wit And Humour,B'quam' b'id' b'a' b'magna' b'quam' b'fusce' b'mus' b'nec' b'ac' b'nibh' b'mattis'.
Dating (Social customs),B'urna' b'at' b'a' b'nisi' b'dis' b'a' b'a' b'nostra' b'orci'.
Airplane crash survival,B'elit' b'et' b'a' b'a' b'eni' b'montes' b'diam' b'in' b'a' b've'.
Curiosities and wonders,B'eros' b'et' b'a' b'a' b'hymenaeos' b'cubilia'.
"Ghost stories, American",B'orci' b'mi' b'a' b'maecenas' b'a' b'a' b'ac'.
"Short stories, American",B'arcu' b've' b'a' b'ad' b'a' b'a' b'nostra' b'a' b'a' b'a'.
Adjustment (Psychology),B'odio' b'ut' b'ac' b'metus' b'a' b'adipiscing'.
Comics & Graphic Novels,B'erat' b'id' b'a' b'et' b'vel' b'ac' b'et' b'cursus' b'felis' b'a' b'ac' b'a'.
Antiques & Collectibles,B'arcu' b'mi' b'a' b'a' b'erat'.
Benedictine monasteries,B'nisl' b'at' b'a' b'cras' b'a' b'a' b'molestie' b'ante' b'habitant' b'a'.
Boarding school-fiction,B'eros' b'et' b'lacinia' b'a' b'netus' b'sit' b'a' b'a' b'a' b'at' b'ac' b'a' b'a'.
Man-woman relationships,B'duis' b've' b'a' b'a' b'a' b'id' b'elit'.
Sexual behavior surveys,B'nibh' b'ut' b'a' b'a' b'a' b'a' b'a'.
Black humor (Literature),B'duis' b'in'.
Dangerously mentally ill,B'odio' b'id'.
Drenai (Imaginary place),B'eros' b'ac' b'nibh' b'a' b'tincidunt' b'a' b've' b'eu' b'mollis' b'amet' b'at' b'a'.
Technology & Engineering,B'orci' b'at' b'id' b'a' b'libero' b'augue' b'a' b'ut'.
Galicia (Spain : Region),B'enim' b'et'.
"Fantasy fiction, English",B'quis' b'id' b'mi' b'a' b'dis' b'sodales' b'at'.
"Comic books, strips, etc",B'cras' b'eu' b'eget' b've' b'a' b'hac' b'nec' b'sapien' b'id' b'urna'.
Church work with the poor,B'eros' b'mi' b'a'.
Communication in families,B'cras' b'ut' b'a' b'sed' b'fusce' b'a' b'dis' b'enim'.
"Humorous stories, English",B'nisi' b'in' b'a' b'eu' b'urna' b'a' b'a' b'eu'.
"Science fiction, American",B'eros' b'et' b'a' b'ac' b'mi'.
Biography & Autobiography,B'diam' b'in' b'a' b'a' b'a' b'mollis' b'per' b'semper' b'lorem' b'a'.
Existential psychotherapy,B'amet' b'mi' b'a'.
Erinyes (Greek mythology),B'diam' b'in'.
Friendship in adolescence,B'nunc' b'ad'.
Essentialism (Philosophy),B'nibh' b'ut' b'a' b'fusce' b'pellentesque' b'arcu' b'sociis' b'ipsum' b'a' b'volutpat'.
"Science fiction, English.",B'odio' b'ac' b'a' b'sagittis' b'amet' b'faucibus' b'a'.
"Fantasy fiction, American",B'enim' b'eu' b'a' b'amet'.
Archaeological expeditions,B'cras' b'id' b'a' b'dis'.
"Napoleonic Wars, 1800-1815",B'nisi' b'ac'.
"Adventure stories, English",B'nunc' b've'.
Alcestis (Greek mythology),B'arcu' b'ac' b'a' b'nam' b'semper' b'magnis' b'aliquam'.
Imaginary wars and battles,B'erat' b'id' b'erat' b'per' b'a'.
"Banks and banking, British",B'quam' b'id' b'a' b'a' b'a' b'et' b'dolor' b'ad' b'a' b'et' b'a' b'nisi'.
"Humorous stories, American",B'eget' b'eu' b'a'.
Human-animal relationships,B'odio' b'in' b'a' b'a' b'augue' b'a' b'a'.
Discworld (Imaginary place),B'diam' b'eu' b'a' b'accumsan' b'quam'.
Adirondack Mountains (N.Y.),B'orci' b'id' b'a' b'pede' b'turpis' b'a' b'a' b'et' b'leo' b'nec'.
"Adventure stories, American",B'enim' b'mi' b'at' b'inceptos' b'netus' b'nostra' b'sem' b'ac' b'turpis' b'varius' b'a' b'quis' b'eu'.
Language Arts & Disciplines,B'cras' b'id' b'a' b'vel' b'class' b'ac' b'vel' b'non'.
Amour - Ouvrages avant 1800,B'eros' b'at' b'a' b'auctor' b'mus' b'non' b'proin' b'mattis' b'a' b'libero' b'vel' b'in' b'a'.
Cornwall (England : County),B'elit' b'eu' b'ut' b'a'.
Psychoanalysis and religion,B'nisi' b'in' b'a' b'purus'.
"Children's poetry, American",B'quam' b'et' b'a'.
"Nineteen ninety-eight, A.D.",B'arcu' b'et' b'a'.
"Children's stories, English",B'odio' b've' b'ut' b'non' b'id' b'turpis' b'amet'.
Otherland (Imaginary place),B'quam' b'mi'.
Film producers and directors,B'quam' b've' b'ad' b'leo'.
Conan (Fictitious character),B'nisi' b'eu' b'mi' b'a' b'a' b'parturient' b'enim' b'massa'.
Aeneas (Legendary character),B'arcu' b'in' b'a' b'a' b'a' b'aenean' b'morbi' b'a' b'pharetra' b'a' b'dis' b'ac' b'sociis'.
Children of divorced parents,B'elit' b'mi' b'ut' b'dis' b'sed' b'ut' b'ante' b'orci'.
Detective and mystery stories,B'diam' b'at' b'ad'.
Amyotrophic lateral sclerosis,B'quis' b'mi' b'nisl' b'odio' b'est' b'a' b'in'.
"Tobruk, Battles of, 1941-1942",B'cras' b'mi' b'a' b'sem' b'a' b'felis' b'a' b'a' b'vivamus' b'a'.
Psycho (Motion picture : 1960),B'quis' b'mi' b'a' b'sed'.
Alienation (Social psychology),B'amet' b'ut' b'nonummy' b'a'.
"Insane, Criminal and dangerous",B'cras' b'at' b'a' b'ornare' b've' b'est' b'at'.
"Experimental fiction, American",B'nisi' b'ad' b'a' b'a' b'a' b'per' b'eget' b'a' b'a'.
"Nanjing (Jiangsu Sheng, China)",B'nisi' b'ut'.
People with social disabilities,B'nisl' b'at' b'a' b'per' b'velit' b'natoque' b'varius' b'et' b'sociis' b'a'.
Children of Holocaust survivors,B'odio' b'ad' b'a' b'dui' b'eget' b'a' b'a'.
87th Precinct (Imaginary place),B'nibh' b'eu'.
Alternative histories (Fiction),B'pede' b'ac' b'iaculis' b'ultrices' b'sed' b'a' b'sem' b'justo' b'magnis'.
Partition of decedents' estates,B'nibh' b'et' b'a' b'a' b'massa' b'et' b'ultricies' b'id' b'a' b'nec'.
"Holt, Max (Fictitious character)",B'odio' b'et' b'a' b'a' b'a' b'a'.
Literary Criticism & Collections,B'eget' b've' b'nunc' b'a' b'nam' b'id'.
"Everest, Mount (China and Nepal)",B'urna' b've'.
"American wit and humor, Pictorial",B'quam' b'at' b'ut' b'a' b'a' b'velit' b'a'.
"Ryan, Jack (Fictitious character)",B'eget' b'ad'.
"Bond, James (Fictitious character)",B'cras' b'in' b'ac' b'at' b'morbi' b'a' b'elit' b'a' b'lobortis' b'a'.
"Dallas, Eve (Fictitious character)",B'odio' b'ut' b'a' b'in' b'a' b'a' b'a' b'nibh' b'a' b'a'.
African American plantation owners,B'arcu' b'ut' b'a' b'dui' b'a' b'a' b'est' b'nullam' b'ad' b'mi'.
"Dent, Arthur (Fictitious character)",B'diam' b'ad'.
"Marple, Jane (Fictitious character)",B'ante' b'ad' b'a' b'ut'.
"Aubrey, Jack (Fictitious character)",B'elit' b'ut' b'a' b'non' b'erat'.
"Hyland, Morn (Fictitious character)",B'nisl' b'ac'.
Chrestomanci (Fictitious character),B'enim' b'et' b'a' b'a' b'cum' b'a' b'justo' b'a'.
Castle Rock (Me. : Imaginary place),B'eget' b'ad' b'a' b'a' b'in'.
"Blake, Anita (Fictitious character)",B'urna' b'in'.
Motion picture actors and actresses,B'nisi' b've'.
Cider house rules. (Motion picture),B'elit' b'eu'.
"Bumppo, Natty (Fictitious character)",B'enim' b'ut' b'a' b'a' b'non' b'a' b'dolor' b'eget' b'montes' b'a'.
"Cabrillo, Juan (Fictitious character)",B'diam' b'in' b'mi' b'inceptos' b'vitae' b'a'.
Continental Op (Fictitious character),B'eget' b'ac' b'in' b'est' b'libero' b'urna' b'eu'.
Minimal brain dysfunction in children,B'ante' b'ut' b'a' b'a'.
"Conner, Rainie (Fictitious character)",B'orci' b'ac' b'et'.
Death (Fictitious character : Gaiman),B'ante' b'id' b'diam'.
"Little, Stuart (Fictitious character)",B'eget' b'mi'.
"Baggins, Frodo (Fictitious character)",B'urna' b'ad' b'a' b'a' b'lectus' b'a' b'a' b'mi' b'in'.
"Baggins, Bilbo (Fictitious character)",B'duis' b'mi' b'a' b'mus' b'ad' b'a' b'a' b'a' b'a'.
"Dracula, Count (Fictitious character)",B'orci' b've' b'a' b'a'.
"Poirot, Hercule (Fictitious character)",B'urna' b'at' b'a' b'id' b'a' b'et' b'penatibus' b'massa'.
Yoknapatawpha County (Imaginary place),B'odio' b'eu' b'a' b'pede' b'per' b'a' b'a' b'a' b'blandit' b'a' b'tortor'.
Alanna (Fictitious character : Pierce),B'nisl' b'id' b'in'.
"Detective and mystery stories, English",B'arcu' b'ut'.
"Lecter, Hannibal (Fictitious character)",B'elit' b'ut' b'a' b'a' b'a'.
"Detective and mystery stories, American",B'duis' b've'.
"Beresford, Tommy (Fictitious character)",B'arcu' b'in' b'a' b'aptent' b'a' b'a' b'aenean'.
Auschwitz (Poland : Concentration camp),B'odio' b'ad' b'a' b'a' b'tellus' b'a' b'at' b'a' b'a' b'mi' b'nisi' b'dis' b'a'.
African Americans in radio broadcasting,B'quam' b'in' b'et' b'a' b'ligula' b'penatibus' b'a' b'mauris' b'fringilla' b'aliquet' b'a'.
Babysitters Club (Imaginary organization),B'urna' b'in'.
"Battle, Superintendent (Fictitious character)",B'urna' b'ut' b'eu' b'in' b'ac' b'id' b'a'.
"Detective and mystery comic books, strips, etc",B'ante' b'id' b'a' b'eros' b'a' b'a' b'vestibulum' b'elit' b'dolor'.
Englisch - Geschichte - Lyrik - Aufsatzsammlung,B'cras' b'eu'.
Characters and characteristics in motion pictures,B'elit' b'ut' b'a' b'aptent' b'a' b'a' b'leo' b'a' b'leo' b'justo' b'a' b'sagittis'.
Estados Unidos - Relaciones exteriores - 1945-1989,B'enim' b'ac' b'a' b'a' b'in'.
